,name,school,draft_pick,season,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,YPG,TDPG,RPG,YPG_diff,RPG_diff,TDPG_diff,second_last_TDPG,second_last_RPG,second_last_YPG,age,nfl_games,nfl_recs,nfl_recYDS,nfl_recTDS,Yards_percentage,Receptions_Percentage,TD_Percentage,nfl_YPG,nfl_TDPG,nfl_RPG,conference_ACC,conference_Big 12,conference_Big Ten,conference_Other,conference_SEC
12,Ty Montgomery,Stanford,94.0,2014.0,61.0,604.0,3.0,23.0,144.0,1.0,54.90909090909091,0.2727272727272727,5.545454545454546,-13.519480519480524,1.188311688311689,-0.4415584415584416,0.7142857142857143,4.357142857142857,68.42857142857143,22,,,,,0.238942954347654,0.0241316559854418,0.1818181818181818,,,,1,0,0,0,0
13,Jamison Crowder,Duke,105.0,2014.0,85.0,1044.0,6.0,2.0,9.0,0.0,80.3076923076923,0.4615384615384615,6.538461538461538,-16.835164835164832,-1.175824175824176,-0.1098901098901098,0.5714285714285714,7.714285714285714,97.14285714285714,22,16.0,59.0,604.0,2.0,0.3709362231302185,0.030200746136081,0.2564102564102564,37.75,0.125,3.6875,1,0,0,0,0
14,Justin Hardy,East Carolina,107.0,2014.0,121.0,1494.0,10.0,1.0,7.0,1.0,114.92307692307692,0.7692307692307693,9.307692307692308,16.153846153846146,0.5384615384615383,0.1538461538461538,0.6153846153846154,8.76923076923077,98.76923076923076,23,9.0,21.0,194.0,0.0,0.3090160713177653,0.0250274060438083,0.3205128205128205,21.55555555555556,0.0,2.333333333333333,0,0,0,1,0
15,Vince Mayle,Washington St.,123.0,2014.0,106.0,1483.0,9.0,0.0,0.0,0.0,123.58333333333331,0.75,8.833333333333334,74.58333333333333,5.015151515151516,0.1136363636363636,0.6363636363636364,3.8181818181818175,49.0,24,,,,,0.2587049054497243,0.0184913823180517,0.1973684210526315,,,,0,0,0,1,0
16,DeAndre Smelter,Georgia Tech,132.0,2014.0,35.0,715.0,7.0,3.0,103.0,1.0,59.583333333333336,0.5833333333333334,2.9166666666666665,30.833333333333336,1.1666666666666663,0.25,0.3333333333333333,1.75,28.75,23,2.0,1.0,23.0,0.0,0.443328373015873,0.0217013888888888,0.4166666666666667,11.5,0.0,0.5,1,0,0,0,0
17,Rashad Greene,Florida St.,139.0,2014.0,99.0,1365.0,7.0,1.0,-2.0,0.0,97.5,0.5,7.071428571428571,16.92857142857143,1.6428571428571423,-0.1428571428571429,0.6428571428571429,5.428571428571429,80.57142857142857,22,9.0,19.0,93.0,2.0,0.3214638971315529,0.0233149639677829,0.2631578947368421,10.333333333333334,0.2222222222222222,2.111111111111111,1,0,0,0,0
18,Stefon Diggs,Maryland,146.0,2014.0,62.0,792.0,5.0,5.0,28.0,0.0,79.2,0.5,6.2,-4.657142857142858,1.3428571428571434,0.0714285714285714,0.4285714285714285,4.857142857142857,83.85714285714286,21,13.0,52.0,720.0,4.0,0.3596730245231608,0.028156221616712,0.3333333333333333,55.38461538461539,0.3076923076923077,4.0,0,0,1,0,0
19,Tony Lippett,Michigan St.,156.0,2014.0,65.0,1198.0,11.0,2.0,51.0,1.0,92.15384615384616,0.8461538461538461,5.0,41.070512820512825,1.3333333333333337,0.6794871794871795,0.1666666666666666,3.6666666666666665,51.083333333333336,23,,,,,0.346964782205746,0.0188253012048192,0.4230769230769231,,,,0,0,1,0,0
20,JJ Nelson,Ala-Birmingham,159.0,2014.0,11.0,145.0,3.0,1.0,1.0,0.0,11.153846153846152,0.2307692307692307,0.8461538461538461,-14.512820512820516,-0.9871794871794872,-0.2692307692307692,0.5,1.8333333333333333,25.666666666666668,23,11.0,11.0,299.0,2.0,0.0486006368359309,0.0036869448634154,0.1282051282051281,27.181818181818183,0.1818181818181818,1.0,0,0,0,1,0
21,Kenny Bell,Nebraska,162.0,2014.0,47.0,788.0,6.0,0.0,0.0,0.0,60.61538461538461,0.4615384615384615,3.615384615384616,16.230769230769226,-0.3846153846153846,0.1538461538461538,0.3076923076923077,4.0,44.38461538461539,23,,,,,0.2857868204402858,0.017045660610017,0.2564102564102564,,,,0,0,1,0,0
22,Keith Mumphery,Michigan St.,175.0,2014.0,26.0,495.0,3.0,6.0,85.0,1.0,38.07692307692308,0.2307692307692307,2.0,13.160256410256412,0.5,-0.0192307692307692,0.25,1.5,24.916666666666668,23,16.0,14.0,129.0,0.0,0.1433619091751622,0.0075301204819277,0.1153846153846153,8.0625,0.0,0.875,0,0,1,0,0
23,Kaelin Clay,,,,,,,,,,,,,,,,,,,23,13.0,6.0,85.0,0.0,,,,6.538461538461538,0.0,0.4615384615384615,0,0,0,1,0
24,Geremy Davis,Connecticut,186.0,2014.0,44.0,521.0,3.0,0.0,0.0,0.0,47.36363636363637,0.2727272727272727,4.0,-43.05303030303031,-1.916666666666667,0.0227272727272727,0.25,5.916666666666667,90.41666666666669,23,10.0,2.0,21.0,0.0,0.279761585136659,0.0236266981689308,0.2727272727272727,2.1,0.0,0.2,0,0,0,1,0
25,Evan Spencer,Ohio St.,187.0,2014.0,15.0,149.0,3.0,1.0,9.0,0.0,9.933333333333334,0.2,1.0,-11.666666666666668,-1.2000000000000002,-0.0999999999999999,0.3,2.2,21.6,22,,,,,0.040199649264805,0.0040469445568595,0.0714285714285714,,,,0,0,0,1,0
26,Darren Waller,Georgia Tech,204.0,2014.0,26.0,442.0,6.0,0.0,0.0,0.0,36.833333333333336,0.5,2.1666666666666665,-3.944444444444443,0.2777777777777777,0.1666666666666666,0.3333333333333333,1.8888888888888888,40.77777777777778,22,6.0,2.0,18.0,0.0,0.2740575396825397,0.0161210317460317,0.3571428571428571,3.0,0.0,0.3333333333333333,1,0,0,0,0
27,Neal Sterling,Monmouth,220.0,2014.0,39.0,399.0,3.0,0.0,0.0,0.0,33.25,0.25,3.25,5.795454545454547,0.7045454545454546,0.0681818181818181,0.1818181818181818,2.5454545454545454,27.454545454545453,23,9.0,0.0,0.0,0.0,0.1516187870497036,0.0148198814409484,0.1923076923076923,0.0,0.0,0.0,0,0,0,1,0
28,Da'Ron Brown,Northern Illinois,233.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62.66666666666666,-3.8333333333333335,-0.75,0.75,3.8333333333333335,62.66666666666666,23,,,,,0.0,0.0,0.0,,,,0,0,0,1,0
29,Dezmin Lewis,Central Arkansas,234.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62.66666666666666,-3.8333333333333335,-0.75,0.75,3.8333333333333335,62.66666666666666,22,,,,,0.0,0.0,0.0,,,,0,0,0,1,0
30,Mario Alford,West Virginia,238.0,2014.0,65.0,945.0,11.0,2.0,14.0,0.0,72.6923076923077,0.8461538461538461,5.0,11.358974358974358,2.0,0.6239316239316239,0.2222222222222222,3.0,61.333333333333336,23,1.0,1.0,15.0,0.0,0.2293132734773113,0.0157728706624605,0.4230769230769231,15.0,0.0,1.0,0,1,0,0,0
31,Tre McBride,William & Mary,245.0,2014.0,65.0,945.0,11.0,2.0,14.0,0.0,72.6923076923077,0.8461538461538461,5.0,11.358974358974358,2.0,0.6239316239316239,0.2222222222222222,3.0,61.333333333333336,22,7.0,2.0,8.0,1.0,0.2293132734773113,0.0157728706624605,0.4230769230769231,1.1428571428571428,0.1428571428571428,0.2857142857142857,0,0,0,1,0
32,Corey Coleman,Baylor,15.0,2015.0,74.0,1363.0,20.0,22.0,111.0,0.0,113.58333333333331,1.6666666666666667,6.166666666666667,1.683333333333323,-0.2333333333333334,0.5666666666666667,1.1,6.4,111.9,22,10.0,33.0,413.0,3.0,0.3923431203223949,0.0213010938399539,0.4901960784313726,41.3,0.3,3.3,0,1,0,0,0
33,Will Fuller,Notre Dame,21.0,2015.0,62.0,1258.0,14.0,0.0,0.0,0.0,96.76923076923076,1.0769230769230769,4.769230769230769,12.615384615384611,-1.0769230769230766,-0.0769230769230768,1.1538461538461535,5.846153846153846,84.15384615384616,22,14.0,47.0,635.0,2.0,0.374349055200119,0.018449635470912,0.5668016194331984,45.35714285714285,0.1428571428571428,3.357142857142857,0,0,0,1,0
34,Josh Doctson,TCU,22.0,2015.0,79.0,1327.0,14.0,1.0,6.0,0.0,120.63636363636364,1.2727272727272727,7.181818181818182,42.32867132867133,2.1818181818181817,0.4265734265734265,0.8461538461538461,5.0,78.3076923076923,23,2.0,2.0,66.0,0.0,0.3472549327471607,0.0206730517611346,0.4242424242424242,33.0,0.0,1.0,0,1,0,0,0
35,Laquon Treadwell,Mississippi,23.0,2015.0,82.0,1153.0,11.0,1.0,-5.0,0.0,88.6923076923077,0.8461538461538461,6.307692307692308,18.470085470085465,0.9743589743589745,0.2905982905982905,0.5555555555555556,5.333333333333333,70.22222222222223,21,9.0,1.0,15.0,0.0,0.2649904621819769,0.0188458091057433,0.3133903133903133,1.6666666666666667,0.0,0.1111111111111111,0,0,0,1,0
36,Sterling Shepard,Oklahoma,40.0,2015.0,86.0,1288.0,11.0,1.0,5.0,0.0,99.07692307692308,0.8461538461538461,6.615384615384615,18.24358974358975,2.365384615384615,0.4294871794871794,0.4166666666666667,4.25,80.83333333333333,23,16.0,65.0,683.0,8.0,0.3214695752009185,0.0214645834373284,0.2917771883289125,42.6875,0.5,4.0625,0,0,0,0,1
37,Michael Thomas,Ohio St.,47.0,2015.0,56.0,781.0,9.0,0.0,0.0,0.0,60.07692307692308,0.6923076923076923,4.307692307692308,6.810256410256415,0.7076923076923074,0.0923076923076923,0.6,3.6,53.266666666666666,23,15.0,92.0,1137.0,9.0,0.3182040417209908,0.0228161668839634,0.4615384615384615,75.8,0.6,6.133333333333334,0,0,0,1,0
38,Tyler Boyd,Pittsburgh,55.0,2015.0,91.0,926.0,6.0,40.0,349.0,0.0,77.16666666666667,0.5,7.583333333333333,-19.83333333333333,1.583333333333333,-0.1153846153846154,0.6153846153846154,6.0,97.0,21,16.0,54.0,603.0,1.0,0.4048618398041274,0.0397866386848548,0.3125,37.6875,0.0625,3.375,1,0,0,0,0
39,Braxton Miller,,,,,,,,,,,,,,,,,,,23,10.0,15.0,99.0,1.0,,,,9.9,0.1,1.5,0,0,0,1,0
40,Leonte Carroo,Rutgers,86.0,2015.0,39.0,809.0,10.0,0.0,0.0,0.0,101.125,1.25,4.875,17.586538461538467,0.6442307692307692,0.4807692307692307,0.7692307692307693,4.230769230769231,83.53846153846153,22,14.0,3.0,29.0,1.0,0.4882906808305167,0.0235393529695799,0.78125,2.071428571428572,0.0714285714285714,0.2142857142857142,0,0,1,0,0
41,Chris Moore,Cincinnati,107.0,2015.0,40.0,870.0,7.0,2.0,10.0,0.0,72.5,0.5833333333333334,3.333333333333333,20.73076923076924,1.025641025641026,-0.032051282051282,0.6153846153846154,2.3076923076923075,51.76923076923077,23,15.0,7.0,46.0,0.0,0.2014448457904973,0.0092618319903676,0.2651515151515151,3.066666666666667,0.0,0.4666666666666667,0,1,0,0,0
42,Malcolm Mitchell,Georgia,112.0,2015.0,58.0,865.0,5.0,0.0,0.0,0.0,66.53846153846153,0.3846153846153846,4.461538461538462,38.982905982905976,1.017094017094017,0.0512820512820513,0.3333333333333333,3.4444444444444446,27.55555555555556,24,14.0,32.0,401.0,4.0,0.3594730499106512,0.0241033952541245,0.3496503496503496,28.642857142857142,0.2857142857142857,2.2857142857142856,0,0,0,0,1
43,Ricardo Louis,Auburn,114.0,2015.0,46.0,716.0,3.0,29.0,158.0,1.0,55.07692307692308,0.2307692307692307,3.5384615384615383,33.32692307692308,1.7884615384615383,-0.0192307692307692,0.25,1.75,21.75,22,16.0,18.0,205.0,0.0,0.3174462425182886,0.0203945909997783,0.2884615384615384,12.8125,0.0,1.125,0,0,0,0,1
44,Pharoh Cooper,South Carolina,117.0,2015.0,66.0,973.0,8.0,24.0,111.0,1.0,81.08333333333333,0.6666666666666666,5.5,-6.301282051282058,0.1923076923076925,-0.0256410256410256,0.6923076923076923,5.307692307692308,87.38461538461539,21,10.0,14.0,106.0,0.0,0.3907630522088353,0.0265060240963855,0.4761904761904762,10.6,0.0,1.4,0,0,0,0,1
45,Demarcus Robinson,Florida,126.0,2015.0,48.0,522.0,2.0,1.0,1.0,0.0,40.15384615384615,0.1538461538461538,3.692307692307693,-28.26282051282052,-0.8076923076923075,-0.4294871794871795,0.5833333333333334,4.5,68.41666666666667,21,16.0,0.0,0.0,0.0,0.1940736885154478,0.0178458564152135,0.1098901098901098,0.0,0.0,0.0,0,0,0,0,1
46,Tajae Sharpe,Massachusetts,140.0,2015.0,111.0,1319.0,5.0,1.0,-3.0,0.0,109.91666666666669,0.4166666666666667,9.25,3.1666666666666714,2.166666666666667,-0.1666666666666666,0.5833333333333334,7.083333333333333,106.75,21,16.0,41.0,522.0,2.0,0.4268608414239483,0.0359223300970873,0.2777777777777778,32.625,0.125,2.5625,0,0,0,1,0
47,Jordan Payton,UCLA,154.0,2015.0,78.0,1106.0,5.0,0.0,0.0,0.0,85.07692307692308,0.3846153846153846,6.0,11.692307692307692,0.8461538461538458,-0.1538461538461538,0.5384615384615384,5.153846153846154,73.38461538461539,23,4.0,1.0,3.0,0.0,0.2944857150464627,0.0207684319833852,0.2136752136752136,0.75,0.0,0.25,0,0,1,0,0
48,Trevor Davis,California,163.0,2015.0,40.0,672.0,2.0,3.0,4.0,0.0,51.69230769230769,0.1538461538461538,3.076923076923077,11.792307692307697,0.6769230769230772,-0.3461538461538461,0.5,2.4,39.9,23,11.0,3.0,24.0,1.0,0.1375161151697464,0.0081854830458182,0.0452488687782805,2.1818181818181817,0.0909090909090909,0.2727272727272727,0,0,0,1,0
49,Tyreek Hill,West Alabama,165.0,2015.0,40.0,672.0,2.0,3.0,4.0,0.0,51.69230769230769,0.1538461538461538,3.076923076923077,11.792307692307697,0.6769230769230772,-0.3461538461538461,0.5,2.4,39.9,22,16.0,61.0,593.0,6.0,0.1375161151697464,0.0081854830458182,0.0452488687782805,37.0625,0.375,3.8125,0,0,0,1,0
50,Rashard Higgins,Colorado St.,172.0,2015.0,75.0,1062.0,8.0,1.0,20.0,0.0,88.5,0.6666666666666666,6.25,-57.33333333333334,-1.75,-0.7500000000000001,1.4166666666666667,8.0,145.83333333333334,21,16.0,6.0,77.0,0.0,0.3881578947368421,0.0274122807017543,0.3703703703703703,4.8125,0.0,0.375,0,0,0,1,0
51,Moritz Boehringer,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,0,0,0,1,0
52,Jakeem Grant,Texas Tech,186.0,2015.0,90.0,1268.0,10.0,8.0,68.0,2.0,97.53846153846152,0.7692307692307693,6.923076923076923,19.37179487179486,1.3397435897435903,0.1858974358974359,0.5833333333333334,5.583333333333333,78.16666666666667,23,16.0,0.0,0.0,0.0,0.2512582728966036,0.017833789085721,0.2564102564102564,0.0,0.0,0.0,0,1,0,0,0
53,Kolby Listenbee,TCU,192.0,2015.0,30.0,597.0,5.0,1.0,11.0,0.0,54.27272727272727,0.4545454545454545,2.727272727272727,-3.6503496503496464,-0.4265734265734267,0.1468531468531468,0.3076923076923077,3.1538461538461537,57.92307692307692,22,,,,,0.1562254671062961,0.007850525985241,0.1515151515151515,,,,0,1,0,0,0
54,Cody Core,Mississippi,199.0,2015.0,37.0,644.0,4.0,1.0,1.0,0.0,49.53846153846154,0.3076923076923077,2.8461538461538463,6.61538461538462,-0.3076923076923075,-0.1538461538461538,0.4615384615384615,3.1538461538461537,42.92307692307692,22,8.0,17.0,200.0,0.0,0.1480085495621796,0.0085035967916159,0.1139601139601139,25.0,0.0,2.125,0,0,0,1,0
55,Mike Thomas,Southern Miss,206.0,2015.0,71.0,1391.0,14.0,0.0,0.0,0.0,107.0,1.0769230769230769,5.461538461538462,57.66666666666666,2.044871794871795,0.6602564102564101,0.4166666666666667,3.4166666666666665,49.333333333333336,22,15.0,3.0,37.0,0.0,0.3245374582954201,0.0165651758008445,0.3713527851458886,2.466666666666667,0.0,0.2,0,0,0,1,0
56,Aaron Burbridge,Michigan St.,213.0,2015.0,85.0,1258.0,7.0,9.0,44.0,0.0,89.85714285714286,0.5,6.071428571428571,62.31868131868132,3.84065934065934,0.4230769230769231,0.0769230769230769,2.230769230769231,27.53846153846154,22,16.0,7.0,88.0,0.0,0.3836769549835306,0.0259241185799682,0.2631578947368421,5.5,0.0,0.4375,0,0,1,0,0
57,Devin Lucien,Arizona St.,225.0,2015.0,66.0,1075.0,8.0,0.0,0.0,0.0,82.6923076923077,0.6153846153846154,5.076923076923077,65.38461538461539,2.846153846153846,0.4615384615384615,0.1538461538461538,2.230769230769231,17.307692307692307,23,,,,,0.2770261564231414,0.01700811751063,0.2675585284280937,,,,0,1,0,0,0
58,Demarcus Ayers,Houston,229.0,2015.0,98.0,1222.0,6.0,25.0,147.0,1.0,87.28571428571429,0.4285714285714285,7.0,61.51648351648352,4.461538461538462,0.2747252747252747,0.1538461538461538,2.5384615384615383,25.76923076923077,22,2.0,6.0,53.0,1.0,0.3515332834704562,0.0281917035843737,0.2678571428571428,26.5,0.5,3.0,0,1,0,0,0
59,Daniel Braverman,Western Michigan,230.0,2015.0,109.0,1377.0,13.0,2.0,13.0,0.0,105.92307692307692,1.0,8.384615384615385,29.230769230769223,1.76923076923077,0.5384615384615384,0.4615384615384615,6.615384615384615,76.6923076923077,22,3.0,0.0,0.0,0.0,0.368941403424162,0.0292045119631326,0.4347826086956522,0.0,0.0,0.0,0,0,0,1,0
60,Devin Fuller,UCLA,238.0,2015.0,24.0,259.0,3.0,0.0,0.0,0.0,23.545454545454547,0.2727272727272727,2.1818181818181817,-10.83916083916084,-2.3566433566433567,0.1958041958041957,0.0769230769230769,4.538461538461538,34.38461538461539,22,,,,,0.0815003618741936,0.0075521570848673,0.1515151515151515,,,,0,0,1,0,0
61,Charone Peake,Clemson,241.0,2015.0,50.0,716.0,5.0,0.0,0.0,0.0,47.73333333333333,0.3333333333333333,3.333333333333333,29.304761904761907,1.6190476190476193,0.0476190476190476,0.2857142857142857,1.7142857142857142,18.428571428571427,23,15.0,19.0,186.0,0.0,0.163526321799703,0.0114194358798675,0.144927536231884,12.4,0.0,1.2666666666666666,1,0,0,0,0
62,Kenny Lawler,California,243.0,2015.0,52.0,658.0,13.0,1.0,5.0,0.0,50.61538461538461,1.0,4.0,-13.111888111888112,-0.9090909090909092,0.1818181818181817,0.8181818181818182,4.909090909090909,63.72727272727273,22,,,,,0.13465119610371,0.0106411279595637,0.2941176470588235,,,,0,0,0,1,0
63,Corey Davis,Western Michigan,5.0,2016.0,97.0,1500.0,19.0,1.0,0.0,0.0,107.14285714285714,1.3571428571428572,6.928571428571429,-3.318681318681328,0.0054945054945054,0.4340659340659341,0.9230769230769232,6.923076923076923,110.46153846153848,22,11.0,34.0,375.0,0.0,0.4244962644328729,0.0274507584333257,0.5654761904761906,34.09090909090909,0.0,3.090909090909091,0,0,0,1,0
64,Mike Williams,Clemson,7.0,2016.0,98.0,1361.0,11.0,0.0,0.0,0.0,90.73333333333332,0.7333333333333333,6.533333333333333,70.73333333333333,4.533333333333333,-0.2666666666666667,1.0,2.0,20.0,22,10.0,11.0,95.0,0.0,0.271738045322951,0.0195667365478686,0.2444444444444444,9.5,0.0,1.1,1,0,0,0,0
65,John Ross,Washington,9.0,2016.0,81.0,1150.0,17.0,8.0,102.0,1.0,82.14285714285714,1.2142857142857142,5.785714285714286,53.6043956043956,4.478021978021978,0.9065934065934064,0.3076923076923077,1.3076923076923077,28.53846153846154,21,3.0,0.0,0.0,0.0,0.3173989843232501,0.0223559284610289,0.3571428571428571,0.0,0.0,0.0,0,0,1,0,0
66,Zay Jones,East Carolina,37.0,2016.0,158.0,1746.0,8.0,4.0,24.0,0.0,145.5,0.6666666666666666,13.166666666666666,53.91666666666667,5.0,0.2499999999999999,0.4166666666666667,8.166666666666666,91.58333333333331,22,15.0,27.0,316.0,2.0,0.4347176576038243,0.0393387112837366,0.303030303030303,21.066666666666663,0.1333333333333333,1.8,0,0,0,1,0
67,Curtis Samuel,,,,,,,,,,,,,,,,,,,21,9.0,15.0,115.0,0.0,,,,12.77777777777778,0.0,1.6666666666666667,0,0,0,1,0
68,JuJu Smith-Schuster,USC,62.0,2016.0,70.0,914.0,10.0,5.0,27.0,0.0,70.3076923076923,0.7692307692307693,5.384615384615385,-33.549450549450555,-0.9725274725274716,0.0549450549450549,0.7142857142857143,6.357142857142857,103.85714285714286,20,14.0,58.0,917.0,7.0,0.2543693643548926,0.0194812423466547,0.3076923076923077,65.5,0.5,4.142857142857143,0,0,1,0,0
69,Cooper Kupp,,,,,,,,,,,,,,,,,,,24,15.0,62.0,869.0,5.0,,,,57.93333333333333,0.3333333333333333,4.133333333333334,0,0,0,1,0
70,Taywan Taylor,Western Kentucky,72.0,2016.0,98.0,1730.0,17.0,6.0,36.0,0.0,123.57142857142856,1.2142857142857142,7.0,18.78571428571428,0.8571428571428568,0.0,1.2142857142857142,6.142857142857143,104.78571428571428,22,16.0,16.0,231.0,1.0,0.3668985408890396,0.0207838479809976,0.4047619047619047,14.4375,0.0625,1.0,0,0,0,1,0
71,ArDarius Stewart,Alabama,79.0,2016.0,54.0,864.0,8.0,8.0,68.0,0.0,72.0,0.6666666666666666,4.5,25.333333333333336,0.2999999999999998,0.3999999999999999,0.2666666666666666,4.2,46.66666666666666,23,,,,,0.3423680456490727,0.021398002853067,0.392156862745098,,,,0,0,0,0,1
72,Carlos Henderson,Louisiana Tech,82.0,2016.0,82.0,1535.0,19.0,14.0,133.0,2.0,118.07692307692308,1.4615384615384617,6.307692307692308,47.71328671328672,3.0349650349650346,1.0069930069930069,0.4545454545454545,3.272727272727273,70.36363636363636,22,,,,,0.3249227382413954,0.0173574361796706,0.4714640198511166,,,,0,0,0,1,0
73,Chris Godwin,Penn St.,84.0,2016.0,59.0,982.0,11.0,1.0,13.0,0.0,70.14285714285714,0.7857142857142857,4.214285714285714,-14.549450549450556,-1.093406593406593,0.401098901098901,0.3846153846153846,5.307692307692308,84.6923076923077,21,16.0,34.0,525.0,1.0,0.2690558386760918,0.0161652693298262,0.3741496598639455,32.8125,0.0625,2.125,0,0,0,1,0
74,Kenny Golladay,Northern Illinois,96.0,2016.0,87.0,1156.0,8.0,20.0,192.0,2.0,96.33333333333331,0.6666666666666666,7.25,15.69047619047619,2.0357142857142856,-0.0476190476190476,0.7142857142857143,5.214285714285714,80.64285714285714,23,11.0,28.0,477.0,3.0,0.4300595238095237,0.0323660714285714,0.392156862745098,43.36363636363637,0.2727272727272727,2.5454545454545454,0,0,0,1,0
